Year,NOC,Sport,Medal_Count,Num_Events,Residuals
1904,ITA,Cycling,1,7.0,-25.047630044099897
1904,NFL,Athletics,1,25.0,2.0676793610618915e-12
1904,NOR,Gymnastics,4,11.0,-34.33389297728584
1904,NOR,Wrestling,2,7.0,-9.56244468964304
1904,RSA,Athletics,3,25.0,-16.048939546429175
1904,SUI,Gymnastics,6,11.0,-35.30472830437408
1904,SUI,Wrestling,1,7.0,-13.533280016731283
1904,USA,Archery,70,6.0,39.264672948760904
1904,USA,Athletics,158,25.0,119.41329812481027
1904,USA,Boxing,24,7.0,-5.570031056572692
1904,USA,Cycling,60,7.0,23.863515836634065
1904,USA,Fencing,20,5.0,-14.823818067702831
1904,USA,Football,23,1.0,-16.796695703157155
1904,USA,Golf,100,2.0,70.87885667810112
1904,USA,Gymnastics,416,11.0,358.397938382821
1904,USA,Lacrosse,12,1.0,-11.36921878334013
1904,USA,Roque,4,1.0,-6.163958232718869e-13
1904,USA,Rowing,37,5.0,3.530443544724349
1904,USA,Tennis,55,2.0,25.084604529000355
1904,USA,Weightlifting,4,2.0,-22.987449446751334
1904,USA,Wrestling,40,7.0,9.169386670463812
1908,ANZ,Athletics,15,26.0,3.1635947494081424
1908,ANZ,Boxing,1,5.0,-0.8445009060112927
1908,ANZ,Rugby,15,1.0,15.42131455933998
1908,ANZ,Shooting,3,15.0,-5.4578217973188
1908,AUT,Athletics,4,26.0,-14.117227434875055
1908,AUT,Fencing,1,4.0,-12.704187943412471
1908,AUT,Tennis,5,6.0,-5.421154556648503
1908,BEL,Athletics,10,26.0,-8.637496744682508
1908,BEL,Cycling,12,7.0,-3.862201190870877
1908,BEL,Fencing,27,4.0,12.775542746780076
1908,BEL,Gymnastics,2,2.0,-32.40207806679334
1908,BEL,Rowing,10,4.0,-2.8701956407927476
1908,BEL,Sailing,3,4.0,-7.471542292273437
1908,BEL,Shooting,16,15.0,0.7410867085905473
1908,BEL,Wrestling,4,5.0,-5.906174673065438
1908,BEL,Wrestling,4,4.0,-5.581096831077595
1908,BOH,Athletics,6,26.0,-3.1481231590794874
1908,BOH,Fencing,23,4.0,18.264916332383095
1908,BOH,Gymnastics,2,2.0,-22.912704481190318
1908,BOH,Tennis,6,6.0,4.547949719147065
1908,BOH,Wrestling,4,5.0,3.5831989125375836
1908,BOH,Wrestling,4,4.0,3.9082767545254264
1908,CAN,Athletics,52,26.0,26.662884474652614
1908,CAN,Cycling,24,7.0,1.4381800284642452
1908,CAN,Fencing,1,4.0,-19.924076033884802
1908,CAN,Gymnastics,2,2.0,-39.101696847458214
1908,CAN,Lacrosse,12,1.0,2.20544540849005
1908,CAN,Rowing,17,4.0,-2.5698144214576253
1908,CAN,Shooting,31,15.0,9.04146792792567
1908,CAN,Tennis,5,6.0,-12.641042647120834
1908,CAN,Wrestling,1,5.0,-15.605793453730318
1908,CAN,Wrestling,1,4.0,-15.280715611742473
1908,DEN,Athletics,13,26.0,-6.579255847768742
1908,DEN,Boxing,2,5.0,-7.587351503188181
1908,DEN,Fencing,14,4.0,-1.16621635630616
1908,DEN,Football,13,1.0,-7.464171833748324
1908,DEN,Gymnastics,24,2.0,-11.343837169879578
1908,DEN,Shooting,19,15.0,2.7993276055043133
1908,DEN,Wrestling,11,5.0,0.15206622384832613
1908,DEN,Wrestling,11,4.0,0.4771440658361694
1908,FIN,Athletics,36,26.0,15.311226086896337
1908,FIN,Gymnastics,31,2.0,-5.453355235214495
1908,FIN,Shooting,15,15.0,-2.310190459830608
1908,FIN,Wrestling,4,5.0,-7.957451841486591
1908,FIN,Wrestling,4,4.0,-7.63237399949875
1908,FRA,Archery,25,3.0,3.4441977340194256
1908,FRA,Athletics,35,26.0,4.292511542117424
1908,FRA,Boxing,7,5.0,-13.715584113302011
1908,FRA,Cycling,65,7.0,37.067807095929055
1908,FRA,Fencing,33,4.0,6.7055510335800115
1908,FRA,Football,22,1.0,-9.592404443862154
1908,FRA,Gymnastics,59,2.0,12.527930220006603
1908,FRA,Sailing,3,4.0,-19.5415340054735
1908,FRA,Shooting,52,15.0,24.671094995390483
1908,FRA,Tennis,1,6.0,-22.01141557965602
1908,GBR,Archery,50,3.0,28.74660110677964
1908,GBR,Athletics,186,26.0,155.59491491487765
1908,GBR,Boxing,32,5.0,11.586819259458203
1908,GBR,Cycling,68,7.0,40.37021046868927
1908,GBR,Fencing,32,4.0,6.007954406340225
1908,GBR,Football,11,1.0,-20.29000107110194
1908,GBR,Gymnastics,65,2.0,18.830333592766806
1908,GBR,Lacrosse,12,1.0,-2.862524151284923
1908,GBR,Polo,12,1.0,0.53427656802379
1908,GBR,Rowing,32,4.0,7.362216018767402
1908,GBR,Rugby,15,1.0,-3.147365275190527
1908,GBR,Sailing,40,4.0,17.760869367286713
1908,GBR,Shooting,131,15.0,103.9734983681507
1908,GBR,Tennis,38,6.0,15.290987793104193
1908,GBR,Wrestling,68,5.0,46.326236986494706
1908,GBR,Wrestling,68,4.0,46.651314828482555
1908,GER,Athletics,37,26.0,6.409076341242887
1908,GER,Cycling,33,7.0,5.184371895054518
1908,GER,Fencing,27,4.0,0.8221158327054745
1908,GER,Gymnastics,11,2.0,-35.35550498086794
1908,GER,Rowing,3,4.0,-21.82362255486735
1908,GER,Shooting,1,15.0,-26.212340205484054
1908,GER,Tennis,9,6.0,-13.894850780530557
1908,GER,Wrestling,1,5.0,-20.85960158714004
1908,GER,Wrestling,1,4.0,-20.534523745152196
1908,GRE,Athletics,24,26.0,6.008938465983544
1908,GRE,Cycling,2,7.0,-13.215765980204825
1908,GRE,Shooting,23,15.0,8.387521919256601
1908,HUN,Athletics,43,26.0,19.85893343008365
1908,HUN,Fencing,16,4.0,-2.728027078453767
1908,HUN,Gymnastics,6,2.0,-32.90564789202718
1908,HUN,Rowing,11,4.0,-6.373765466026587
1908,HUN,Shooting,2,15.0,-17.762483116643295
1908,HUN,Tennis,5,6.0,-10.444993691689799
1908,HUN,Wrestling,8,5.0,-6.409744498299279
1908,HUN,Wrestling,8,4.0,-6.0846666563114375
1908,ISL,Wrestling,1,5.0,0.18830770870225955
1908,ISL,Wrestling,1,4.0,0.5133855506901019
1908,ITA,Athletics,22,26.0,-4.6437777155574125
1908,ITA,Cycling,9,7.0,-14.868482161745781
1908,ITA,Fencing,25,4.0,2.769261775905175
1908,ITA,Gymnastics,32,2.0,-10.40835903766824
1908,ITA,Rowing,1,4.0,-19.876476611667645
1908,ITA,Wrestling,1,5.0,-16.91245564394034
1908,ITA,Wrestling,1,4.0,-16.587377801952496
1908,NED,Athletics,53,26.0,30.726705867302734
1908,NED,Cycling,25,7.0,5.502001421114365
1908,NED,Fencing,27,4.0,9.139745358765321
1908,NED,Football,12,1.0,-11.158210118676848
1908,NED,Gymnastics,39,2.0,0.9621245451919052
1908,NED,Rowing,4,4.0,-12.505993028807502
1908,NED,Shooting,31,15.0,12.105289320575793
1908,NED,Tennis,4,6.0,-10.577221254470714
1908,NED,Wrestling,9,5.0,-4.541972061080195
1908,NED,Wrestling,9,4.0,-4.216894219092353
1908,NOR,Athletics,22,26.0,4.53553680506969
1908,NOR,Fencing,1,4.0,-12.051423703467725
1908,NOR,Gymnastics,38,2.0,4.770955482958861
1908,NOR,Rowing,9,4.0,-2.6971620910405463
1908,NOR,Sailing,5,4.0,-4.298508742521236
1908,NOR,Shooting,27,15.0,12.914120258342749
1908,NOR,Wrestling,1,5.0,-7.7331411233132386
1908,NOR,Wrestling,1,4.0,-7.408063281325395
1908,RSA,Athletics,9,26.0,-8.1948695060629
1908,RSA,Cycling,17,7.0,2.580426047748732
1908,RSA,Fencing,2,4.0,-10.781830014600315
1908,RSA,Tennis,5,6.0,-4.498796627836349
1908,RUS,Athletics,1,26.0,-31.764924624126166
1908,RUS,Wrestling,4,5.0,-20.033602552509098
1908,RUS,Wrestling,4,4.0,-19.708524710521253
1908,SUI,Athletics,1,26.0,-19.43529852201855
1908,SWE,Athletics,66,26.0,44.07411476951343
1908,SWE,Cycling,8,7.0,-11.15058967667494
1908,SWE,Fencing,11,4.0,-6.512845739023987
1908,SWE,Football,14,1.0,-8.810801216466153
1908,SWE,Gymnastics,38,2.0,0.30953344740260036
1908,SWE,Sailing,13,4.0,-0.7599307780774982
1908,SWE,Shooting,60,15.0,41.45269822278649
1908,SWE,Tennis,6,6.0,-8.22981235226002
1908,SWE,Wrestling,10,5.0,-3.194563158869501
1908,SWE,Wrestling,10,4.0,-2.869485316881658
1908,USA,Archery,2,3.0,-25.580945642921453
1908,USA,Athletics,143,26.0,106.26736816517655
1908,USA,Cycling,6,7.0,-27.95733628101182
1908,USA,Shooting,33,15.0,-0.35404838155039897
1908,USA,Wrestling,6,5.0,-22.001309763206383
1908,USA,Wrestling,6,4.0,-21.676231921218537
1912,ANZ,Athletics,7,30.0,-8.2321425464933
1912,ANZ,Rowing,10,4.0,1.8354699253478337
1912,ANZ,Tennis,1,8.0,-5.8859139842910615
1912,AUT,Athletics,27,30.0,5.487035269223501
1912,AUT,Cycling,12,2.0,-3.8119685990742838
1912,AUT,Fencing,21,5.0,4.875308286649613
1912,AUT,Football,15,1.0,-6.097569348804708
1912,AUT,Modern Pentathlon,1,1.0,-5.014683103066879
1912,AUT,Rowing,6,4.0,-8.445352258935364
1912,AUT,Shooting,15,18.0,-2.8093034355155986
1912,AUT,Tennis,5,8.0,-8.16673616857426
1912,AUT,Wrestling,8,5.0,-3.4813312912080576
1912,BEL,Athletics,3,30.0,-19.033234040583952
1912,BEL,Cycling,1,2.0,-15.332237908881737
1912,BEL,Fencing,30,5.0,13.35503897684216
1912,BEL,Rowing,6,4.0,-8.965621568742817
1912,BEL,Wrestling,1,5.0,-11.001600601015511
1912,BOH,Athletics,15,30.0,2.45613954501907
1912,BOH,Cycling,10,2.0,3.1571356767212855
1912,BOH,Fencing,27,5.0,19.844412562445182
1912,BOH,Gymnastics,1,4.0,-26.658286093116075
1912,BOH,Rowing,1,4.0,-4.476247983139794
1912,BOH,Tennis,15,8.0,10.802368107221309
1912,BOH,Wrestling,4,5.0,1.4877729845875116
1912,CAN,Athletics,39,30.0,10.26714717875117
1912,CAN,Cycling,2,2.0,-21.031856689546615
1912,CAN,Rowing,10,4.0,-11.665240349407696
1912,CAN,Shooting,3,18.0,-22.02919152598793
1912,CHI,Athletics,10,30.0,-7.985330947257015
1912,CHI,Cycling,8,2.0,-4.2843348155548
1912,CHI,Shooting,8,18.0,-6.281669651996115
1912,DEN,Athletics,21,30.0,-1.9749931436701864
1912,DEN,Cycling,16,2.0,-1.273997011967971
1912,DEN,Fencing,24,5.0,6.413279873755926
1912,DEN,Football,15,1.0,-7.559597761698395
1912,DEN,Gymnastics,54,4.0,15.910581218194665
1912,DEN,Modern Pentathlon,4,1.0,-3.4767115159605693
1912,DEN,Rowing,16,4.0,0.09261932817094731
1912,DEN,Sailing,3,4.0,-10.508727323309742
1912,DEN,Shooting,41,18.0,21.728668151590714
1912,DEN,Tennis,20,8.0,5.371235418532052
1912,DEN,Wrestling,9,5.0,-3.943359704101745
1912,FIN,Athletics,57,30.0,32.91548879099489
1912,FIN,Cycling,10,2.0,-8.383515077302889
1912,FIN,Football,13,1.0,-10.669115827033316
1912,FIN,Gymnastics,25,4.0,-14.198936847140253
1912,FIN,Rowing,6,4.0,-11.01689873716397
1912,FIN,Sailing,27,4.0,12.38175461135534
1912,FIN,Shooting,38,18.0,17.619150086255793
1912,FIN,Wrestling,37,5.0,22.947122230563338
1912,FRA,Athletics,56,30.0,21.896774246215983
1912,FRA,Cycling,24,2.0,-4.402229622081794
1912,FRA,Gymnastics,6,4.0,-43.21765139191916
1912,FRA,Modern Pentathlon,2,1.0,-16.604944126074397
1912,FRA,Rowing,19,4.0,-8.03561328194288
1912,FRA,Sailing,3,4.0,-21.63695993342357
1912,FRA,Shooting,65,18.0,34.600435541476884
1912,FRA,Tennis,12,8.0,-13.756997191581778
1912,FRA,Wrestling,6,5.0,-18.071592314215575
1912,GBR,Athletics,111,30.0,77.1991776189762
1912,GBR,Cycling,52,2.0,23.900173750678412
1912,GBR,Fencing,41,5.0,12.587450636402309
1912,GBR,Football,14,1.0,-19.385426999052015
1912,GBR,Gymnastics,29,4.0,-19.915248019158952
1912,GBR,Modern Pentathlon,3,1.0,-15.302540753314183
1912,GBR,Rowing,24,4.0,-2.733209909182669
1912,GBR,Shooting,85,18.0,54.902838914237094
1912,GBR,Tennis,25,8.0,-0.45459381882156435
1912,GBR,Wrestling,12,5.0,-11.769188941455361
1912,GER,Athletics,56,30.0,22.01333904534144
1912,GER,Cycling,22,2.0,-6.285664822956338
1912,GER,Fencing,33,5.0,4.401612062767555
1912,GER,Football,22,1.0,-11.571265572686755
1912,GER,Gymnastics,36,4.0,-13.101086592793706
1912,GER,Modern Pentathlon,1,1.0,-17.488379326948934
1912,GER,Rowing,25,4.0,-1.9190484828174235
1912,GER,Shooting,25,18.0,-5.28299965939765
1912,GER,Tennis,13,8.0,-12.640432392456308
1912,GER,Wrestling,14,5.0,-9.955027515090112
1912,GRE,Athletics,7,30.0,-14.386798829917904
1912,GRE,Fencing,14,5.0,-1.9985258124917848
1912,GRE,Shooting,54,18.0,36.31686246534301
1912,GRE,Wrestling,1,5.0,-10.355165390349455
1912,HUN,Athletics,48,30.0,21.463196134182205
1912,HUN,Cycling,10,2.0,-10.835807734115576
1912,HUN,Fencing,30,5.0,8.85146915160832
1912,HUN,Football,14,1.0,-12.121408483846004
1912,HUN,Gymnastics,20,4.0,-21.65122950395294
1912,HUN,Rowing,11,4.0,-8.469191393976658
1912,HUN,Shooting,34,18.0,11.166857429443105
1912,HUN,Tennis,8,8.0,-10.190575303615553
1912,HUN,Wrestling,10,5.0,-6.50517042624935
1912,ISL,Athletics,1,30.0,-11.938751658816255
1912,ISL,Wrestling,1,5.0,-1.9071182192478133
1912,ITA,Athletics,25,30.0,-5.039515011458853
1912,ITA,Fencing,16,5.0,-8.651241994032741
1912,ITA,Football,14,1.0,-15.624119629487062
1912,ITA,Gymnastics,24,4.0,-21.153940649594
1912,ITA,Wrestling,6,5.0,-14.007881571890412
1912,JPN,Athletics,4,30.0,-25.851873631494463
1912,LUX,Athletics,3,30.0,-14.802082498891092
1912,LUX,Gymnastics,41,4.0,8.083491862973759
1912,NED,Athletics,2,30.0,-23.669031428598707
1912,NED,Fencing,22,5.0,1.7192415888274013
1912,NED,Football,15,1.0,-10.253636046626916
1912,NED,Modern Pentathlon,1,1.0,-9.17074980088909
1912,NED,Shooting,1,18.0,-20.965370133337807
1912,NED,Tennis,1,8.0,-16.322802866396472
1912,NED,Wrestling,3,5.0,-12.637397989030267
1912,NOR,Athletics,37,30.0,16.13979950916825
1912,NOR,Cycling,12,2.0,-3.159204359129536
1912,NOR,Fencing,14,5.0,-1.4719274734056391
1912,NOR,Football,12,1.0,-8.44480510885996
1912,NOR,Gymnastics,46,4.0,10.02537387103311
1912,NOR,Modern Pentathlon,2,1.0,-3.3619188631221313
1912,NOR,Rowing,29,4.0,15.207411981009384
1912,NOR,Sailing,18,4.0,6.606065329528695
1912,NOR,Shooting,54,18.0,36.84346080442914
1912,NOR,Tennis,14,8.0,1.4860280713704839
1912,NOR,Wrestling,9,5.0,-1.8285670512633097
1912,POR,Athletics,5,30.0,-14.631576556891506
1912,POR,Fencing,1,5.0,-13.243303539465394
1912,POR,Wrestling,2,5.0,-7.599943117323065
1912,RSA,Athletics,13,30.0,-7.590606801964341
1912,RSA,Cycling,1,2.0,-13.889610670262126
1912,RSA,Fencing,3,5.0,-12.20233378453823
1912,RSA,Shooting,33,18.0,16.11305449329656
1912,RSA,Tennis,5,8.0,-7.244378239762103
1912,RUS,Athletics,39,30.0,2.8393380799723786
1912,RUS,Cycling,20,2.0,-10.459665788325392
1912,RUS,Fencing,45,5.0,14.227611097398501
1912,RUS,Football,15,1.0,-20.745266538055816
1912,RUS,Gymnastics,4,4.0,-47.27508755816275
1912,RUS,Modern Pentathlon,5,1.0,-15.662380292317991
1912,RUS,Rowing,1,4.0,-28.093049448186477
1912,RUS,Sailing,17,4.0,-9.694396099667166
1912,RUS,Shooting,87,18.0,54.54299937523329
1912,RUS,Tennis,3,8.0,-24.81443335782537
1912,RUS,Wrestling,11,5.0,-15.129028480459166
1912,SRB,Athletics,2,30.0,-20.95354356663668
1912,SUI,Athletics,1,30.0,-22.83103581791999
1912,SWE,Athletics,183,30.0,157.678377473612
1912,SWE,Cycling,24,2.0,4.3793736053142
1912,SWE,Fencing,28,5.0,8.066650491038097
1912,SWE,Football,14,1.0,-10.906227144416224
1912,SWE,Gymnastics,24,4.0,-16.436048164523157
1912,SWE,Modern Pentathlon,12,1.0,2.176659101321608
1912,SWE,Rowing,33,4.0,14.745989945453118
1912,SWE,Sailing,41,4.0,25.14464329397243
1912,SWE,Shooting,157,18.0,135.3820387688729
1912,SWE,Tennis,50,8.0,33.02460603581422
1912,SWE,Wrestling,34,5.0,18.71001091318043
1912,TUR,Athletics,7,30.0,-14.757100711777579
1912,USA,Athletics,183,30.0,142.8716308692751
1912,USA,Cycling,18,2.0,-16.42737299902268
1912,USA,Fencing,30,5.0,-4.740096113298783
1912,USA,Modern Pentathlon,1,1.0,-23.63008750301528
1912,USA,Shooting,94,18.0,57.57529216453601
1912,USA,Tennis,1,8.0,-30.782140568522653
1912,USA,Wrestling,2,5.0,-28.09673569115645
1920,ARG,Boxing,1,8.0,-7.354692368028566
1920,AUS,Athletics,8,29.0,-17.987146428908076
1920,AUS,Cycling,3,2.0,-17.611228139193702
1920,AUS,Cycling,3,4.0,-18.261383823169385
1920,AUS,Tennis,1,5.0,-15.990762182730151
1920,BEL,Archery,51,10.0,39.93815563371371
1920,BEL,Athletics,78,29.0,59.086780809763084
1920,BEL,Boxing,13,8.0,4.078685154343651
1920,BEL,Cycling,24,2.0,10.46269909947746
1920,BEL,Cycling,24,4.0,9.812543415501775
1920,BEL,Fencing,43,6.0,28.824898143213513
1920,BEL,Football,14,1.0,-4.822901650252966
1920,BEL,Gymnastics,53,4.0,18.647277329640104
1920,BEL,Ice Hockey,7,1.0,5.168455155368369
1920,BEL,Polo,4,1.0,5.001375988872766
1920,BEL,Rowing,20,5.0,7.504237597628535
1920,BEL,Sailing,14,14.0,0.9771903682572596
1920,BEL,Shooting,59,21.0,42.49013073707262
